Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2100362,2021,5/27/2022,Wethersfield,43 BEVERLY RD,146900,320000.0,0.459,Residential,Single Family,25 - Other,NOT OPENLY MARKETED,,POINT (-72.666256965 41.699273019)
180593,2018,9/9/2019,Trumbull,9 VALLEY RD,188720,223730.0,0.843516739,Single Family,Single Family,14 - Foreclosure,FNMA SALE,,POINT (-73.19389 41.24814)
21349,2021,5/23/2022,Farmington,78 WEST AVON RD,239820,480000.0,0.499625,Residential,Condo,,,,POINT (-72.878430007 41.759738015)
160748,2016,8/31/2017,Southington,252 BUCKLAND ST,269520,431278.0,0.624933338,Single Family,Single Family,,,,
20425,2020,4/8/2021,Newtown,16B LITTLE BROOK LANE,202140,390000.0,0.5183,Residential,Single Family,,,,POINT (-73.26359 41.37195)
190582,2019,6/9/2020,Manchester,73 LUDLOW ROAD,139100,215000.0,0.647,Single Family,Single Family,,,,
18245,2018,7/3/2019,Monroe,48 BLUE HILLS RD,257000,441500.0,0.5821,Single Family,Single Family,,,,
160248,2016,4/25/2017,Salem,240 WITTER RD,125800,235000.0,0.535319149,Single Family,Single Family,,,,POINT (-72.23439 41.52405)
21000490,2021,8/29/2022,Cheshire,5 STACY CT,187800,387500.0,0.4846,Residential,Single Family,,,,POINT (-72.92084797 41.531875013)
210049,2021,10/7/2021,Norwalk,17 ADAMSON AVE,201300,408500.0,0.4927,Residential,Single Family,,5-83-182-0,,POINT (-73.426061987 41.079636007)
16263,2016,5/8/2017,Farmington,39 CROSSWOOD RD,229250,340000.0,0.674264706,Single Family,Single Family,,,,POINT (-72.87091 41.75359)
170043,2017,2/5/2018,Killingworth,46 FAWN HILL ROAD,368630,485000.0,0.76,Single Family,Single Family,,,,POINT (-72.58533 41.34448)
190122,2019,7/20/2020,Beacon Falls,1 TWIN OAKS TRAIL,0,470793.0,0.0,Condo,Condo,07 - Change in Property,NEW CONSTRUCTION,,
190163,2019,12/9/2019,Southington,14A THE MEADOWS,80230,103950.0,0.7718,Condo,Condo,,,,
180022,2018,11/13/2018,Ansonia,205 DIVISION ST,551200,1400000.0,0.3937,,,,,,
17023,2017,12/18/2017,Deep River,251 MAIN ST,204050,309000.0,0.660355987,Single Family,Single Family,,,,POINT (-72.43414 41.37995)
170560,2017,5/16/2018,Greenwich,9 CEDARWOOD DR,1648640,2200000.0,0.7493,Single Family,Single Family,,,,
170670,2017,6/29/2018,Manchester,14 HIGH STREET,104900,60000.0,1.748333333,,,25 - Other,,BELOW MARKET - SOLD LESS THAN HALF TOWN MARKET VALUE,
170963,2017,8/8/2018,West Hartford,70 HARVEST LANE,357280,462950.0,0.771746409,Single Family,Single Family,25 - Other,SOLD AS IS,,
200130,2020,11/2/2020,Bristol,36 ALLEN ST,129080,251200.0,0.5138,Residential,Condo,,,,
1910466,2019,8/3/2020,Naugatuck,83 LONGWOOD DR,102180,179000.0,0.5708,Single Family,Single Family,07 - Change in Property,BANK SALE,,
200447,2020,12/31/2020,Greenwich,102 VALLEY ROAD UN25,268520,550000.0,0.4882,Residential,Condo,,,,POINT (-73.59036 41.04486)
18013,2018,11/2/2018,Ashford,391-393 ASHFORD CENTER RD,129100,93500.0,1.3807,Two Family,Two Family,07 - Change in Property,LOWER LEVEL UNIT GUTTED PRIOR TO SALE.,,POINT (-72.12658 41.87166)
180072,2018,12/4/2018,Waterford,6 GRAHAM ST,128990,241250.0,0.5346,Single Family,Single Family,,,,
167525,2016,7/24/2017,Bridgeport,632 KOSSUTH ST,162690,53000.0,3.069622642,,,14 - Foreclosure,,,
210201,2021,12/27/2021,Windsor,132 HIGH PATH RD,58240,126000.0,0.4622,Residential,Condo,,,,POINT (-72.657984026 41.892107)
190123,2019,2/18/2020,Berlin,180 SCENIC DRIVE,0,405184.5,0.0,Condo,Condo,07 - Change in Property,non-qualified sale - new construction,,
211074,2021,5/27/2022,Norwalk,131 WASHINGTON ST 304,141010,240000.0,0.5875,Residential,Condo,,,,POINT (-73.416813981 41.099144007)
162428,2016,8/2/2017,Shelton,145 CANAL ST # 305,104090,153500.0,0.678110749,Condo,Condo,,BIRMINGHAM ON THE RIVER,,POINT (-73.09171 41.31738)
160744,2016,8/31/2017,Southington,217 JUDE LN,214930,382000.0,0.562643979,Single Family,Single Family,,,,
19000095,2019,12/23/2019,Brookfield,17 CANTERBURY CT,92090,145000.0,0.6351,Condo,Condo,25 - Other,EXECUTORS DEED,,
171073,2017,3/26/2018,Bridgeport,1184 PARK AVE,122070,210000.0,0.581285714,Two Family,Two Family,,,,
170404,2017,8/15/2018,Madison,23 WINDWARD LN,484000,387500.0,1.249,Single Family,Single Family,08 - Part Interest,sale of 1/2 interest,,
19203,2019,1/8/2020,East Hartford,28 SPRINGSIDE AVE,110080,110000.0,1.0007,Single Family,Single Family,14 - Foreclosure,,,
2002307,2020,8/5/2021,Stamford,833 SUMMER STREET #E,164640,295000.0,0.5581,Residential,Condo,,,,POINT (-73.53999 41.05912)
202389,2020,6/1/2021,Norwalk,2 OX YOKE LN,417520,675000.0,0.6185,Residential,Single Family,,5-26-48-0,,POINT (-73.40963 41.14816)
160216,2016,2/21/2017,Glastonbury,25 ACCORNERO LN,457900,699900.0,0.654236319,Single Family,Single Family,,,,
160886,2016,8/29/2017,Bristol,1469 FARMINGTON AVE UN 42,121800,195000.0,0.624615385,Condo,Condo,,,,
211400,2021,7/28/2022,Norwalk,26 FAIRFIELD TERRACE,245150,469000.0,0.5227,Residential,Single Family,,,,POINT (-73.418348959 41.132059992)
190016,2019,5/6/2020,Bridgewater,40 BILBERRY ROAD,276300,412000.0,0.6706,Single Family,Single Family,,,,
200540,2020,9/23/2021,Madison,93 DEEPWOOD DR,188100,320000.0,0.5878,Residential,Single Family,,,,
180231,2018,1/11/2019,Middletown,3 FOREST GLEN CIR #11,71160,114000.0,0.624210526,Condo,Condo,14 - Foreclosure,,,
